Date            R1  T1  CFreq      rms   sfnr    rdc study  Nout status drft drf2  esp  gmn gmn1 gmnN gtop gtop1 gtopN notes
20151204.063446  9  109 1277604980 0.035 401.4   7.7 3933 1    PASS   -0.5  0.7  472  1.3  1.4  1.3  2.8  2.8  2.9 "rgb"
20151207.071026  9  107 1277605290 0.034 391.8   8.4 4030 2    PASS   -0.5  0.6  472  1.2  1.2  1.2  2.8  2.8  2.9 "rgb restart"
20151208.061328  9  109 1277605220 0.040 396.1   6.4 4044 1    PASS   -0.5  0.6  472  1.3  1.3  1.4  3.1  3.0  3.2 "rgb"
20151209.080655  9  108 1277605370 0.037 400.8   6.9 4099 1    PASS   -0.5  0.6  472  1.3  1.4  1.3  2.8  2.8  2.8 "kl"
20151210.062850  9  108 1277605370 0.042 385.6   6.4 4148 1    PASS   -0.4  0.6  472  1.5  1.5  1.5  3.1  3.0  3.1 "rgb"
20151211.064951  9  109 1277605300 0.039 403.7   6.8 4175 1    PASS   -0.4  0.6  472  1.4  1.4  1.4  3.0  3.1  3.0 "rgb"
20151214.073759  9  108 1277605530 0.032 388.6   8.8 4281 1    PASS   -0.5  0.7  472  1.4  1.4  1.4  2.9  2.9  2.9 "rgb"
20151214.073759  9  108 1277605530 0.032 388.6   8.8 4281 1    PASS   -0.5  0.7  472  1.4  1.4  1.4  2.9  2.9  2.9 "rgg restart"
20151215.065455  9  109 1277605530 0.038 405.6   6.6 4328 0    PASS   -0.4  0.5  472  1.5  1.5  1.5  3.0  3.0  3.0 "rgb"
20151216.053814  9  108 1277605770 0.036 398.6   7.0 4398 1    PASS   -0.5  0.6  472  1.3  1.3  1.3  2.9  2.9  2.9 "rgb"
20151217.065708  9  107 1277605930 0.039 404.6   6.3 4463 1    PASS   -0.5  0.6  472  1.2  1.3  1.2  2.8  3.0  2.7 " kl"
20151218.081538  9  107 1277606010 0.040 399.2   6.2 4512 1    PASS   -0.5  0.6  472  1.4  1.4  1.4  3.1  3.1  3.0 "kl"
20160104.080554  9  106 1277605220 0.037 399.4   6.9 4732 1    PASS   -0.5  0.7  472  1.3  1.3  1.3  2.7  2.8  2.7 "kl"
20160105.080242  9  107 1277605220 0.037 405.5   6.3 4755 1    PASS   -0.5  0.6  472  1.4  1.4  1.4  2.9  2.9  3.0 "kl"
20160106.080801  9  109 1277605220 0.036 405.0   7.2 4795 1    PASS   -0.4  0.5  472  1.2  1.2  1.2  2.5  2.6  2.6 "kl"
20160107.080413  9  107 1277605150 0.036 404.6   6.6 4802 1    PASS   -0.4  0.6  472  1.4  1.4  1.4  2.9  2.8  3.0 "kl"
20160108.082059  9  108 1277605540 0.030 406.0   8.1 4867 0    PASS   -0.4  0.6  472  1.5  1.5  1.5  3.1  3.1  3.1 "kl"
20160111.081156  9  108 1277605780 0.034 410.0   7.1 4946 1    PASS   -0.5  0.6  472  1.2  1.2  1.2  2.5  2.5  2.6 "kl"
20160112.063120  9  110 1277606000 0.035 410.1   7.8 5011 1    PASS   -0.4  0.6  472  1.4  1.4  1.4  3.6  3.7  3.6 "rgb"
20160113.064333  9  106 1277606090 0.029 400.2   9.2 5057 0    PASS   -0.6  0.7  472  1.5  1.5  1.5  3.1  3.1  3.1 "rgb"
20160114.064113  9  108 1277606090 0.037 409.7   6.8 5106 1    PASS   -0.4  0.5  472  1.3  1.3  1.3  2.8  3.0  2.8 "rgb"
20160115.070946 10  108 1277606160 0.043 399.1   6.0 5147 1    FAIL   -0.5  0.7  472  1.4  1.4  1.4  2.9  2.9  2.9 "rgb"
20160115.080514 10  108 1277606230 0.031 401.0   7.8 5150 1    PASS   -0.5  0.6  472  1.3  1.4  1.4  2.9  2.9  3.0 "kl"
20160119.082927  9  109 1277606160 0.036 407.3   6.8 5270 1    PASS   -0.5  0.6  472  1.3  1.3  1.3  2.7  2.8  2.8 "kl"
20160120.062807  9  107 1277606160 0.033 403.0   8.2 5297 0    PASS   -0.4  0.5  472  1.5  1.5  1.5  3.2  3.1  3.2 "rgb"
